"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"spark","Sunkyu Park","College of Natural Resources","Forest Biomaterials","","False","4","139","#9B59B6","False",""
"wmrand","Bill Rand","Poole College of Management","Marketing","","False","6","49","#F0E442","False",""
"ejlobato","Edgar Lobaton","College of Engineering","Electrical and Computer Engineering","","False","10","109","#0072B2","False",""
"llopezq","Lorena Lopez","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","2","19","#E69F00","False",""
"pcfyfe","Paul Fyfe","College of Humanities and Social Sciences","English","","False","4","24","#CC79A7","False",""
"cmroland","Christopher Roland","College of Sciences","Physics","","False","7","49","#009E73","False",""
"dsjones5","Daniela Jones","College of Agriculture and Life Sciences","Biological and Agricultural Engineering","","False","1","25","#E69F00","False",""
"jcdietri","Casey Dietrich","College of Engineering","Civil, Construction and Environmental Engineering","","False","1","47","#0072B2","False",""
"japiedra","Jorge Piedrahita","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","1","75","#56B4E9","False",""
"apapani","Andrew Papanicolaou","College of Sciences","Mathematics","","False","2","28","#009E73","False",""
"kwk","Ki Kim","College of Engineering","Electrical and Computer Engineering","","False","4","107","#0072B2","False",""
"jkwesp","Julie Wesp","College of Humanities and Social Sciences","Sociology and Anthropology","","False","1","13","#CC79A7","False",""
"hji5","Hangjie Ji","College of Sciences","Mathematics","","False","1","37","#009E73","False",""
"jtuck","James Tuck","College of Engineering","Electrical and Computer Engineering","","False","2","45","#0072B2","False",""
"hdakroyd","Duane Akroyd","College of Education","Educational Leadership, Policy, and Human Development","","False","1","6","#D55E00","False",""
"smenega","Stefano Menegatti","College of Engineering","Chemical and Biomolecular Engineering","","False","5","115","#0072B2","False",""
"rpguiter","Raymond Guiteras","College of Agriculture and Life Sciences","Agricultural and Resource Economics","","False","2","16","#E69F00","False",""
"tran","Hien Tran","College of Sciences","Mathematics","","False","2","62","#009E73","False",""
"kito","Kazufumi Ito","College of Sciences","Mathematics","","False","4","69","#009E73","False",""
"mthuo","Martin Thuo","College of Engineering","Materials Science and Engineering","","False","12","131","#0072B2","False",""
"twprice","Thomas Price","College of Engineering","Computer Science","","False","3","56","#0072B2","False",""
"rblanger","Brian Langerhans","College of Sciences","Biological Sciences","","False","6","49","#009E73","False",""
"jliu38","Jun Liu","College of Engineering","Mechanical and Aerospace Engineering","","False","6","73","#0072B2","False",""
"icarbon","Ignazio Carbone","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","3","89","#E69F00","False",""
"cgastro","Claudia Gastrow","College of Humanities and Social Sciences","Sociology and Anthropology","","False","1","19","#CC79A7","False",""
"tmschaef","Thomas Schaefer","College of Sciences","Physics","","False","5","91","#009E73","False",""
"wekrause","Wendy Krause","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","29","#1ABC9C","False",""
"nmhaenn","Nora Haenn","College of Humanities and Social Sciences","Sociology and Anthropology","","False","2","10","#CC79A7","False",""
