uid,name,shib_role,shib_title,orcid,college,department,nc_state_affiliations,works_count,open_access_works_count,sdg_work_count_by_wos_1,sdg_work_count_by_wos_2,sdg_work_count_by_wos_3,sdg_work_count_by_wos_4,sdg_work_count_by_wos_5,sdg_work_count_by_wos_6,sdg_work_count_by_wos_7,sdg_work_count_by_wos_8,sdg_work_count_by_wos_9,sdg_work_count_by_wos_10,sdg_work_count_by_wos_11,sdg_work_count_by_wos_12,sdg_work_count_by_wos_13,sdg_work_count_by_wos_14,sdg_work_count_by_wos_15,sdg_work_count_by_wos_16,sdg_work_count_by_wos_17
mdmullen,Mike Mullen,faculty,Unpaid Emeritus,https://orcid.org/0000-0002-0272-3048,College of Agriculture and Life Sciences,Crop and Soil Sciences,Office of the Executive Vice Chancellor and Provost; Crop and Soil Sciences; Academic and Student Affairs,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tzmullin,Tara Mullins,faculty,Teaching Professor,,University College,Music,Dance Program; Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmmakris,Thomas Makris,faculty,Professor,https://orcid.org/0000-0001-7927-620X,NC State Administration and Offices,Comparative Medicine Institute,Comparative Medicine Institute,67,27,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
mlmoncad,Marvin Moncada,faculty,Asst Professor,,College of Agriculture and Life Sciences,"Food, Bioprocessing, and Nutrition Sciences","Food, Bioprocessing, and Nutrition Sciences; Food, Bioprocessing, and Nutrition Sciences; Bezos Center for Sustainable Protein",25,17,0,6,20,0,0,0,0,0,0,0,0,1,1,0,1,0,0
dmmerite,Danielle Meritet,faculty,Assoc Clinical Professor,,College of Veterinary Medicine,Population Health and Pathobiology,Population Health and Pathobiology,16,10,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0
rwmurray,Ryan Murray,faculty,Assoc Professor,https://orcid.org/0000-0002-4491-4096,College of Sciences,Mathematics,Mathematics,24,15,0,0,4,0,0,0,0,0,0,1,1,0,1,1,1,0,0
smarsha3,Samantha Marshall,faculty,Asst Professor,https://orcid.org/0000-0002-6043-5116,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences,39,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
pjmcgrat,Peter McGrath,faculty,Asst Professor,,College of Sciences,Mathematics,Mathematics,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameli,Charlotte Meli,faculty,Lecturer,,College of Agriculture and Life Sciences,Animal Science,Animal Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mwnolan,Michael Nolan,faculty,Professor,https://orcid.org/0000-0002-4432-9700,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences; Comparative Medicine Institute,90,33,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vnaraya3,Venkateswaran Narayanaswamy,faculty,Professor,https://orcid.org/0000-0003-1831-6321,College of Engineering,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,106,24,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0
lmneal2,Luke Neal,faculty,Assoc Research Professor,https://orcid.org/0000-0002-1747-6668,College of Engineering,Chemical and Biomolecular Engineering,Chemical and Biomolecular Engineering,55,24,0,0,1,0,0,0,2,0,0,0,0,0,31,0,0,0,0
hmnjie,Haddy Njie,faculty,Assoc Teaching Professor,,College of Humanities and Social Sciences,Interdisciplinary Studies,Interdisciplinary Studies; Global One Health Academy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lknyota,Lynda Nyota,faculty,Asst Teaching Professor,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pfnealon,Patrice Nealon,faculty,Professor of the Practice,,Poole College of Management,Marketing,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ronace,Richard Nace,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rkmeente,Ross Meentemeyer,faculty,Professor,https://orcid.org/0000-0002-1247-6212,College of Natural Resources,Center for Geospatial Analytics,Forestry and Environmental Resources; Center for Geospatial Analytics; Comparative Medicine Institute; Coastal Resilience and Sustainability Initiative; N.C. Plant Sciences Initiative,140,77,0,18,7,1,0,17,1,0,1,0,25,0,46,34,55,0,0
kcmarsde,Kurt Marsden,faculty,Assoc Professor,https://orcid.org/0000-0001-8087-6181,College of Sciences,Biological Sciences,Biological Sciences; Biological Sciences; Genetics and Genomics Academy; Biological Sciences; Toxicology Programs; Comparative Medicine Institute; Center for Human Health and the Environment ,30,25,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amikael,Aram Mikaelyan,faculty,Assoc Professor,https://orcid.org/0000-0002-7276-0194,College of Agriculture and Life Sciences,Entomology and Plant Pathology,Entomology and Plant Pathology; Entomology and Plant Pathology; Genetics and Genomics Academy; Global One Health Academy,39,26,0,3,4,1,0,0,0,0,0,0,0,0,0,0,10,0,0
mlmastro,Michael Mastromauro,faculty,Asst Clinical Professor,https://orcid.org/0000-0002-2106-7517,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,7,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rlmitch2,Rolanda Mitchell,faculty,Asst Professor,,College of Education,"Educational Leadership, Policy, and Human Development","Educational Leadership, Policy, and Human Development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memayorg,Maria Mayorga,faculty,Professor,https://orcid.org/0000-0002-6399-2153,College of Engineering,Engineering Research,Edward P. Fitts Department of Industrial & Systems Engineering; Precision Medicine; Engineering Research; Global One Health Academy,91,30,0,0,35,0,2,0,0,0,0,1,3,1,0,0,0,1,0
jemeitze,John Meitzen,faculty,Professor,https://orcid.org/0000-0002-8860-4110,College of Sciences,Biological Sciences,Biological Sciences; Biological Sciences; Genetics and Genomics Academy; Comparative Medicine Institute; Biological Sciences; Center for Human Health and the Environment ; Toxicology Programs,63,37,0,0,9,2,25,0,0,0,0,0,0,0,0,0,0,0,0
esmoney,Eric Money,faculty,Director of Education and Assoc Teaching Professor,https://orcid.org/0000-0003-1649-2591,College of Natural Resources,Center for Geospatial Analytics,Center for Geospatial Analytics,43,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jemorga2,Joy Morgan,faculty,Assoc Professor,,College of Agriculture and Life Sciences,Agricultural and Human Sciences,Agricultural and Human Sciences; KIETS Climate Leaders Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdmoenni,Kevin Moennich,faculty,Senior Lecturer,,NC State Administration and Offices,Physical Education,Physical Education,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kmorel,Katherine Morel,faculty,Senior Lecturer,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsmurray,Seth Murray,faculty,Assoc Professor,https://orcid.org/0000-0001-6890-4979,College of Humanities and Social Sciences,Interdisciplinary Studies,Interdisciplinary Studies,15,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
glmathew,Gary Mathews,faculty,Unpaid Emeritus,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skmishra,Santosh Mishra,faculty,Assoc Professor,,College of Veterinary Medicine,Molecular Biomedical Sciences,Molecular Biomedical Sciences; Molecular Biomedical Sciences; Genetics and Genomics Academy,36,25,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drmatthe,Delisia Matthews,faculty,Assoc Professor,https://orcid.org/0000-0001-8711-1990,Wilson College of Textiles,"Textile and Apparel, Technology and Management","Textile and Apparel, Technology and Management",9,2,1,3,0,3,1,0,0,0,2,0,1,4,3,3,3,0,0
bmurphy2,Benjamin Murphy,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vmehta,Vijaya Mehta,faculty,Assoc Teaching Professor,,College of Sciences,Physics,Physics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
